"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref","NA.","NA..1"
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,1,"28, 5, 23, 38, 13, 37, 12, 4, 36, 3, 6, 29, 17, 32, 22, 27, 14, 35, 1, 39, 31, 8, 34, 7, 9, 16, 2, 10","IRT",231,1497,269,3,0.864,0.847678369195923,0.987179487179487,0.998,0.847678369195923,0.916717697489283,"IRT",123,881,17,3,0.98046875,0.981069042316258,0.976190476190476,0.996606334841629,0.981069042316258,0.988776655443322,"IRT",108,616,252,0,0.741803278688525,0.709677419354839,1,1,0.709677419354839,0.830188679245283
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,1,"28, 5, 23, 38, 13, 37, 12, 4, 36, 3, 6, 29, 17, 32, 22, 27, 14, 35, 1, 39, 31, 8, 34, 7, 9, 16, 2, 10","rf_probs",0,683,1083,234,0.3415,0.386749716874292,0,0.744820065430752,0.386749716874292,0.509131569139023,"rf_probs",0,194,704,126,0.189453125,0.216035634743875,0,0.60625,0.216035634743875,0.318555008210181,"rf_probs",0,489,379,108,0.501024590163934,0.563364055299539,0,0.819095477386935,0.563364055299539,0.667576791808874
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,1,"28, 5, 23, 38, 13, 37, 12, 4, 36, 3, 6, 29, 17, 32, 22, 27, 14, 35, 1, 39, 31, 8, 34, 7, 9, 16, 2, 10","rf_class",203,1712,54,31,0.9575,0.969422423556059,0.867521367521368,0.982214572576018,0.969422423556059,0.975776574522656,"rf_class",100,896,2,26,0.97265625,0.997772828507795,0.793650793650794,0.971800433839479,0.997772828507795,0.984615384615385,"rf_class",103,816,52,5,0.941598360655738,0.940092165898618,0.953703703703704,0.993909866017052,0.940092165898618,0.966252220248668
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,2,"6, 15, 16, 4, 32, 27, 39, 1, 11, 33, 38, 26, 3, 21, 36, 20, 10, 2, 29, 14, 25, 23, 18, 24, 22, 37, 19, 13","IRT",246,1471,277,6,0.8585,0.841533180778032,0.976190476190476,0.995937711577522,0.841533180778032,0.912248062015504,"IRT",118,837,19,6,0.974489795918367,0.977803738317757,0.951612903225806,0.99288256227758,0.977803738317757,0.985285462036492,"IRT",128,634,258,0,0.747058823529412,0.710762331838565,1,1,0.710762331838565,0.830930537352556
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,2,"6, 15, 16, 4, 32, 27, 39, 1, 11, 33, 38, 26, 3, 21, 36, 20, 10, 2, 29, 14, 25, 23, 18, 24, 22, 37, 19, 13","rf_probs",0,694,1054,252,0.347,0.397025171624714,0,0.733615221987315,0.397025171624714,0.515219005196734,"rf_probs",0,219,637,124,0.223469387755102,0.255841121495327,0,0.638483965014577,0.255841121495327,0.365304420350292,"rf_probs",0,475,417,128,0.465686274509804,0.532511210762332,0,0.787728026533997,0.532511210762332,0.635451505016722
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,2,"6, 15, 16, 4, 32, 27, 39, 1, 11, 33, 38, 26, 3, 21, 36, 20, 10, 2, 29, 14, 25, 23, 18, 24, 22, 37, 19, 13","rf_class",206,1685,63,46,0.9455,0.96395881006865,0.817460317460317,0.973425765453495,0.96395881006865,0.968669157803967,"rf_class",86,852,4,38,0.957142857142857,0.995327102803738,0.693548387096774,0.957303370786517,0.995327102803738,0.975945017182131,"rf_class",120,833,59,8,0.934313725490196,0.933856502242152,0.9375,0.990487514863258,0.933856502242152,0.96133871898442
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,3,"2, 1, 38, 28, 25, 6, 26, 37, 11, 16, 5, 17, 29, 21, 12, 20, 40, 4, 10, 15, 32, 8, 36, 23, 22, 3, 35, 33","IRT",234,1497,255,14,0.8655,0.854452054794521,0.943548387096774,0.990734612839179,0.854452054794521,0.91756052712228,"IRT",101,878,13,14,0.973161033797217,0.985409652076319,0.878260869565217,0.984304932735426,0.985409652076319,0.984856982613573,"IRT",133,619,242,0,0.756539235412475,0.718931475029036,1,1,0.718931475029036,0.836486486486486
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,3,"2, 1, 38, 28, 25, 6, 26, 37, 11, 16, 5, 17, 29, 21, 12, 20, 40, 4, 10, 15, 32, 8, 36, 23, 22, 3, 35, 33","rf_probs",0,734,1018,248,0.367,0.418949771689498,0,0.747454175152749,0.418949771689498,0.536942209217264,"rf_probs",0,230,661,115,0.228628230616302,0.258136924803591,0,0.666666666666667,0.258136924803591,0.372168284789644,"rf_probs",0,504,357,133,0.507042253521127,0.585365853658537,0,0.791208791208791,0.585365853658537,0.672897196261682
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,3,"2, 1, 38, 28, 25, 6, 26, 37, 11, 16, 5, 17, 29, 21, 12, 20, 40, 4, 10, 15, 32, 8, 36, 23, 22, 3, 35, 33","rf_class",207,1691,61,41,0.949,0.965182648401826,0.834677419354839,0.976327944572748,0.965182648401826,0.970723306544202,"rf_class",79,886,5,36,0.959244532803181,0.994388327721661,0.68695652173913,0.960954446854664,0.994388327721661,0.97738554881412,"rf_class",128,805,56,5,0.938631790744467,0.934959349593496,0.962406015037594,0.993827160493827,0.934959349593496,0.963494913225613
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,4,"39, 28, 33, 1, 13, 22, 4, 38, 40, 29, 34, 24, 37, 6, 27, 20, 7, 5, 17, 35, 10, 23, 8, 12, 14, 36, 26, 25","IRT",218,1561,207,14,0.8895,0.882918552036199,0.939655172413793,0.991111111111111,0.882918552036199,0.933891714029315,"IRT",100,883,4,14,0.982017982017982,0.995490417136415,0.87719298245614,0.984392419175028,0.995490417136415,0.989910313901345,"IRT",118,678,203,0,0.796796796796797,0.769580022701476,1,1,0.769580022701476,0.869788325849904
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,4,"39, 28, 33, 1, 13, 22, 4, 38, 40, 29, 34, 24, 37, 6, 27, 20, 7, 5, 17, 35, 10, 23, 8, 12, 14, 36, 26, 25","rf_probs",0,718,1050,232,0.359,0.406108597285068,0,0.755789473684211,0.406108597285068,0.528329654157469,"rf_probs",0,220,667,114,0.21978021978022,0.248027057497182,0,0.658682634730539,0.248027057497182,0.36036036036036,"rf_probs",0,498,383,118,0.498498498498498,0.565266742338252,0,0.808441558441558,0.565266742338252,0.665330661322645
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,4,"39, 28, 33, 1, 13, 22, 4, 38, 40, 29, 34, 24, 37, 6, 27, 20, 7, 5, 17, 35, 10, 23, 8, 12, 14, 36, 26, 25","rf_class",195,1711,57,37,0.953,0.967760180995475,0.84051724137931,0.97883295194508,0.967760180995475,0.973265073947668,"rf_class",83,884,3,31,0.966033966033966,0.996617812852311,0.728070175438597,0.966120218579235,0.996617812852311,0.981132075471698,"rf_class",112,827,54,6,0.93993993993994,0.938706015891033,0.949152542372881,0.992797118847539,0.938706015891033,0.964994165694282
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,5,"6, 27, 29, 19, 38, 1, 40, 4, 28, 9, 31, 32, 2, 33, 30, 20, 17, 14, 16, 18, 13, 15, 22, 26, 21, 39, 10, 23","IRT",236,1531,227,6,0.8835,0.870875995449374,0.975206611570248,0.996096291476903,0.870875995449374,0.929286798179059,"IRT",117,885,12,6,0.982352941176471,0.986622073578595,0.951219512195122,0.993265993265993,0.986622073578595,0.98993288590604,"IRT",119,646,215,0,0.780612244897959,0.750290360046458,1,1,0.750290360046458,0.857332448573324
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,5,"6, 27, 29, 19, 38, 1, 40, 4, 28, 9, 31, 32, 2, 33, 30, 20, 17, 14, 16, 18, 13, 15, 22, 26, 21, 39, 10, 23","rf_probs",0,690,1068,242,0.345,0.392491467576792,0,0.740343347639485,0.392491467576792,0.513011152416357,"rf_probs",0,215,682,123,0.21078431372549,0.239687848383501,0,0.636094674556213,0.239687848383501,0.348178137651822,"rf_probs",0,475,386,119,0.48469387755102,0.551684088269454,0,0.7996632996633,0.551684088269454,0.652920962199313
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,5,"6, 27, 29, 19, 38, 1, 40, 4, 28, 9, 31, 32, 2, 33, 30, 20, 17, 14, 16, 18, 13, 15, 22, 26, 21, 39, 10, 23","rf_class",207,1718,40,35,0.9625,0.977246871444824,0.855371900826446,0.980034227039361,0.977246871444824,0.978638564511535,"rf_class",94,895,2,29,0.969607843137255,0.997770345596433,0.764227642276423,0.968614718614719,0.997770345596433,0.982976386600769,"rf_class",113,823,38,6,0.955102040816327,0.955865272938444,0.949579831932773,0.992762364294331,0.955865272938444,0.97396449704142
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,6,"34, 11, 39, 17, 37, 23, 19, 20, 21, 8, 36, 2, 22, 32, 30, 1, 15, 18, 6, 33, 16, 3, 24, 5, 35, 29, 38, 9","IRT",240,1487,267,6,0.8635,0.847776510832383,0.975609756097561,0.995981245813798,0.847776510832383,0.915922389898368,"IRT",117,896,20,6,0.97497593840231,0.978165938864629,0.951219512195122,0.993348115299335,0.978165938864629,0.985698569856986,"IRT",123,591,247,0,0.742976066597295,0.705250596658711,1,1,0.705250596658711,0.827151854443667
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,6,"34, 11, 39, 17, 37, 23, 19, 20, 21, 8, 36, 2, 22, 32, 30, 1, 15, 18, 6, 33, 16, 3, 24, 5, 35, 29, 38, 9","rf_probs",0,704,1050,246,0.352,0.401368301026226,0,0.741052631578947,0.401368301026226,0.520710059171598,"rf_probs",0,202,714,123,0.1944177093359,0.220524017467249,0,0.621538461538461,0.220524017467249,0.325543916196616,"rf_probs",0,502,336,123,0.522372528616025,0.599045346062053,0,0.8032,0.599045346062053,0.686261107313739
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,6,"34, 11, 39, 17, 37, 23, 19, 20, 21, 8, 36, 2, 22, 32, 30, 1, 15, 18, 6, 33, 16, 3, 24, 5, 35, 29, 38, 9","rf_class",192,1705,49,54,0.9485,0.972063854047891,0.780487804878049,0.969300739056282,0.972063854047891,0.970680330202106,"rf_class",74,913,3,49,0.94995187680462,0.996724890829694,0.601626016260163,0.949064449064449,0.996724890829694,0.972310969116081,"rf_class",118,792,46,5,0.946930280957336,0.945107398568019,0.959349593495935,0.993726474278545,0.945107398568019,0.968807339449541
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,7,"16, 30, 21, 15, 27, 37, 36, 13, 33, 18, 34, 4, 1, 19, 32, 12, 24, 28, 23, 17, 2, 8, 9, 3, 5, 6, 29, 20","IRT",227,1458,310,5,0.8425,0.824660633484163,0.978448275862069,0.996582365003418,0.824660633484163,0.902506963788301,"IRT",110,832,31,5,0.96319018404908,0.964078794901506,0.956521739130435,0.994026284348865,0.964078794901506,0.978823529411765,"IRT",117,626,279,0,0.727005870841487,0.69171270718232,1,1,0.69171270718232,0.817766165904637
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,7,"16, 30, 21, 15, 27, 37, 36, 13, 33, 18, 34, 4, 1, 19, 32, 12, 24, 28, 23, 17, 2, 8, 9, 3, 5, 6, 29, 20","rf_probs",0,742,1026,232,0.371,0.419683257918552,0,0.761806981519507,0.419683257918552,0.541210795040117,"rf_probs",0,225,638,115,0.230061349693252,0.26071842410197,0,0.661764705882353,0.26071842410197,0.374064837905237,"rf_probs",0,517,388,117,0.50587084148728,0.571270718232044,0,0.815457413249211,0.571270718232044,0.671864847303444
2000,2000,40,0.12,0.7,"both",FALSE,0.5,1,7,"16, 30, 21, 15, 27, 37, 36, 13, 33, 18, 34, 4, 1, 19, 32, 12, 24, 28, 23, 17, 2, 8, 9, 3, 5, 6, 29, 20","rf_class",194,1675,93,38,0.9345,0.947398190045249,0.836206896551724,0.977816695855225,0.947398190045249,0.962367135880494,"rf_class",85,852,11,30,0.958077709611452,0.987253765932793,0.739130434782609,0.965986394557823,0.987253765932793,0.976504297994269,"rf_class",109,823,82,8,0.911937377690802,0.90939226519337,0.931623931623932,0.990373044524669,0.90939226519337,0.94815668202765
