"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref","NA","NA"
400,200,80,0.3,0.4,"a","FALSE",0.5,0,4,"6, 75, 60, 47, 68, 44, 27, 59, 73, 29, 79, 67, 9, 50, 43, 49, 46, 57, 18, 77, 21, 13, 33, 55, 26, 2, 54, 35, 65, 38, 32, 25","rf_probs",90,0,201,9,0.3,0,0.909090909090909,0,0,NA,"rf_probs",25,0,64,6,0.263157894736842,0,0.806451612903226,0,0,NA,"rf_probs",65,0,137,3,0.317073170731707,0,0.955882352941177,0,0,NA
400,200,80,0.3,0.4,"a","FALSE",0.5,0,4,"6, 75, 60, 47, 68, 44, 27, 59, 73, 29, 79, 67, 9, 50, 43, 49, 46, 57, 18, 77, 21, 13, 33, 55, 26, 2, 54, 35, 65, 38, 32, 25","rf_class",97,190,11,2,0.956666666666667,0.945273631840796,0.97979797979798,0.989583333333333,0.945273631840796,0.966921119592875,"rf_class",31,60,4,0,0.957894736842105,0.9375,1,1,0.9375,0.967741935483871,"rf_class",66,130,7,2,0.95609756097561,0.948905109489051,0.970588235294118,0.984848484848485,0.948905109489051,0.966542750929368
400,200,80,0.3,0.4,"a","FALSE",0.5,0,5,"38, 8, 5, 62, 18, 75, 34, 67, 72, 46, 15, 61, 76, 28, 41, 63, 55, 7, 73, 1, 57, 10, 58, 78, 44, 39, 26, 14, 59, 27, 68, 3","IRT",77,204,17,2,0.936666666666667,0.923076923076923,0.974683544303797,0.990291262135922,0.923076923076923,0.955503512880562,"IRT",27,67,6,1,0.930693069306931,0.917808219178082,0.964285714285714,0.985294117647059,0.917808219178082,0.950354609929078,"IRT",50,137,11,1,0.939698492462312,0.925675675675676,0.980392156862745,0.992753623188406,0.925675675675676,0.958041958041958
400,200,80,0.3,0.4,"a","FALSE",0.5,0,5,"38, 8, 5, 62, 18, 75, 34, 67, 72, 46, 15, 61, 76, 28, 41, 63, 55, 7, 73, 1, 57, 10, 58, 78, 44, 39, 26, 14, 59, 27, 68, 3","rf_probs",0,105,116,79,0.35,0.475113122171946,0,0.570652173913043,0.475113122171946,0.518518518518518,"rf_probs",0,32,41,28,0.316831683168317,0.438356164383562,0,0.533333333333333,0.438356164383562,0.481203007518797,"rf_probs",0,73,75,51,0.366834170854271,0.493243243243243,0,0.588709677419355,0.493243243243243,0.536764705882353
400,200,80,0.3,0.4,"a","FALSE",0.5,0,5,"38, 8, 5, 62, 18, 75, 34, 67, 72, 46, 15, 61, 76, 28, 41, 63, 55, 7, 73, 1, 57, 10, 58, 78, 44, 39, 26, 14, 59, 27, 68, 3","rf_class",73,208,13,6,0.936666666666667,0.941176470588235,0.924050632911392,0.97196261682243,0.941176470588235,0.95632183908046,"rf_class",28,69,4,0,0.96039603960396,0.945205479452055,1,1,0.945205479452055,0.971830985915493,"rf_class",45,139,9,6,0.924623115577889,0.939189189189189,0.882352941176471,0.958620689655172,0.939189189189189,0.948805460750853
400,200,80,0.3,0.4,"a","FALSE",0.5,0,6,"16, 54, 13, 35, 43, 30, 52, 24, 74, 7, 9, 36, 80, 15, 73, 72, 44, 71, 8, 66, 33, 25, 39, 79, 18, 55, 20, 49, 1, 68, 45, 70","IRT",87,197,13,3,0.946666666666667,0.938095238095238,0.966666666666667,0.985,0.938095238095238,0.960975609756097,"IRT",31,68,5,1,0.942857142857143,0.931506849315068,0.96875,0.985507246376812,0.931506849315068,0.957746478873239,"IRT",56,129,8,2,0.948717948717949,0.941605839416058,0.96551724137931,0.984732824427481,0.941605839416058,0.962686567164179
400,200,80,0.3,0.4,"a","FALSE",0.5,0,6,"16, 54, 13, 35, 43, 30, 52, 24, 74, 7, 9, 36, 80, 15, 73, 72, 44, 71, 8, 66, 33, 25, 39, 79, 18, 55, 20, 49, 1, 68, 45, 70","rf_probs",0,79,131,90,0.263333333333333,0.376190476190476,0,0.467455621301775,0.376190476190476,0.41688654353562,"rf_probs",0,27,46,32,0.257142857142857,0.36986301369863,0,0.457627118644068,0.36986301369863,0.409090909090909,"rf_probs",0,52,85,58,0.266666666666667,0.37956204379562,0,0.472727272727273,0.37956204379562,0.421052631578947
400,200,80,0.3,0.4,"a","FALSE",0.5,0,6,"16, 54, 13, 35, 43, 30, 52, 24, 74, 7, 9, 36, 80, 15, 73, 72, 44, 71, 8, 66, 33, 25, 39, 79, 18, 55, 20, 49, 1, 68, 45, 70","rf_class",87,199,11,3,0.953333333333333,0.947619047619048,0.966666666666667,0.985148514851485,0.947619047619048,0.966019417475728,"rf_class",31,67,6,1,0.933333333333333,0.917808219178082,0.96875,0.985294117647059,0.917808219178082,0.950354609929078,"rf_class",56,132,5,2,0.964102564102564,0.963503649635037,0.96551724137931,0.985074626865672,0.963503649635037,0.974169741697417
400,200,80,0.3,0.4,"a","FALSE",0.5,0,7,"32, 2, 53, 7, 70, 63, 75, 3, 57, 17, 60, 52, 5, 64, 16, 56, 38, 25, 65, 10, 15, 33, 23, 51, 79, 46, 34, 74, 72, 55, 21, 22","IRT",87,201,9,3,0.96,0.957142857142857,0.966666666666667,0.985294117647059,0.957142857142857,0.971014492753623,"IRT",28,72,3,0,0.970873786407767,0.96,1,1,0.96,0.979591836734694,"IRT",59,129,6,3,0.954314720812183,0.955555555555556,0.951612903225806,0.977272727272727,0.955555555555556,0.966292134831461
400,200,80,0.3,0.4,"a","FALSE",0.5,0,7,"32, 2, 53, 7, 70, 63, 75, 3, 57, 17, 60, 52, 5, 64, 16, 56, 38, 25, 65, 10, 15, 33, 23, 51, 79, 46, 34, 74, 72, 55, 21, 22","rf_probs",0,86,124,90,0.286666666666667,0.40952380952381,0,0.488636363636364,0.40952380952381,0.44559585492228,"rf_probs",0,26,49,28,0.252427184466019,0.346666666666667,0,0.481481481481481,0.346666666666667,0.403100775193798,"rf_probs",0,60,75,62,0.304568527918782,0.444444444444444,0,0.491803278688525,0.444444444444444,0.466926070038911
400,200,80,0.3,0.4,"a","FALSE",0.5,0,7,"32, 2, 53, 7, 70, 63, 75, 3, 57, 17, 60, 52, 5, 64, 16, 56, 38, 25, 65, 10, 15, 33, 23, 51, 79, 46, 34, 74, 72, 55, 21, 22","rf_class",79,204,6,11,0.943333333333333,0.971428571428571,0.877777777777778,0.948837209302326,0.971428571428571,0.96,"rf_class",26,73,2,2,0.961165048543689,0.973333333333333,0.928571428571429,0.973333333333333,0.973333333333333,0.973333333333333,"rf_class",53,131,4,9,0.934010152284264,0.97037037037037,0.854838709677419,0.935714285714286,0.97037037037037,0.952727272727273
400,200,80,0.3,0.4,"a","FALSE",0.5,0,8,"61, 57, 40, 55, 37, 65, 56, 15, 39, 64, 27, 6, 46, 53, 3, 62, 30, 66, 41, 35, 67, 18, 25, 59, 14, 71, 1, 38, 13, 80, 78, 21","IRT",82,209,6,3,0.97,0.972093023255814,0.964705882352941,0.985849056603774,0.972093023255814,0.978922716627635,"IRT",39,67,0,2,0.981481481481482,1,0.951219512195122,0.971014492753623,1,0.985294117647059,"IRT",43,142,6,1,0.963541666666667,0.959459459459459,0.977272727272727,0.993006993006993,0.959459459459459,0.975945017182131
400,200,80,0.3,0.4,"a","FALSE",0.5,0,8,"61, 57, 40, 55, 37, 65, 56, 15, 39, 64, 27, 6, 46, 53, 3, 62, 30, 66, 41, 35, 67, 18, 25, 59, 14, 71, 1, 38, 13, 80, 78, 21","rf_probs",0,96,119,85,0.32,0.446511627906977,0,0.530386740331492,0.446511627906977,0.484848484848485,"rf_probs",0,29,38,41,0.268518518518519,0.432835820895522,0,0.414285714285714,0.432835820895522,0.423357664233577,"rf_probs",0,67,81,44,0.348958333333333,0.452702702702703,0,0.603603603603604,0.452702702702703,0.517374517374517
400,200,80,0.3,0.4,"a","FALSE",0.5,0,8,"61, 57, 40, 55, 37, 65, 56, 15, 39, 64, 27, 6, 46, 53, 3, 62, 30, 66, 41, 35, 67, 18, 25, 59, 14, 71, 1, 38, 13, 80, 78, 21","rf_class",83,208,7,2,0.97,0.967441860465116,0.976470588235294,0.990476190476191,0.967441860465116,0.978823529411765,"rf_class",39,66,1,2,0.972222222222222,0.985074626865672,0.951219512195122,0.970588235294118,0.985074626865672,0.977777777777778,"rf_class",44,142,6,0,0.96875,0.959459459459459,1,1,0.959459459459459,0.979310344827586
400,200,80,0.3,0.4,"a","FALSE",0.5,0,9,"45, 65, 16, 49, 66, 10, 59, 33, 2, 15, 71, 27, 73, 76, 47, 7, 61, 48, 67, 1, 8, 46, 58, 17, 32, 52, 26, 80, 6, 35, 19, 9","IRT",88,202,7,3,0.966666666666667,0.966507177033493,0.967032967032967,0.985365853658537,0.966507177033493,0.975845410628019,"IRT",27,73,3,1,0.961538461538462,0.960526315789474,0.964285714285714,0.986486486486487,0.960526315789474,0.973333333333333,"IRT",61,129,4,2,0.969387755102041,0.969924812030075,0.968253968253968,0.984732824427481,0.969924812030075,0.977272727272727
400,200,80,0.3,0.4,"a","FALSE",0.5,0,9,"45, 65, 16, 49, 66, 10, 59, 33, 2, 15, 71, 27, 73, 76, 47, 7, 61, 48, 67, 1, 8, 46, 58, 17, 32, 52, 26, 80, 6, 35, 19, 9","rf_probs",0,87,122,91,0.29,0.416267942583732,0,0.48876404494382,0.416267942583732,0.449612403100775,"rf_probs",0,31,45,28,0.298076923076923,0.407894736842105,0,0.525423728813559,0.407894736842105,0.459259259259259,"rf_probs",0,56,77,63,0.285714285714286,0.421052631578947,0,0.470588235294118,0.421052631578947,0.444444444444444
400,200,80,0.3,0.4,"a","FALSE",0.5,0,9,"45, 65, 16, 49, 66, 10, 59, 33, 2, 15, 71, 27, 73, 76, 47, 7, 61, 48, 67, 1, 8, 46, 58, 17, 32, 52, 26, 80, 6, 35, 19, 9","rf_class",84,199,10,7,0.943333333333333,0.952153110047847,0.923076923076923,0.966019417475728,0.952153110047847,0.959036144578313,"rf_class",27,73,3,1,0.961538461538462,0.960526315789474,0.964285714285714,0.986486486486487,0.960526315789474,0.973333333333333,"rf_class",57,126,7,6,0.933673469387755,0.947368421052632,0.904761904761905,0.954545454545455,0.947368421052632,0.950943396226415
400,200,80,0.3,0.4,"a","FALSE",0.5,0,10,"42, 26, 41, 47, 74, 12, 72, 1, 11, 60, 32, 44, 16, 79, 18, 64, 28, 40, 48, 53, 70, 76, 43, 5, 46, 63, 54, 20, 34, 19, 62, 23","IRT",83,211,2,4,0.98,0.990610328638498,0.954022988505747,0.981395348837209,0.990610328638498,0.985981308411215,"IRT",31,59,0,1,0.989010989010989,1,0.96875,0.983333333333333,1,0.991596638655462,"IRT",52,152,2,3,0.976076555023923,0.987012987012987,0.945454545454545,0.980645161290323,0.987012987012987,0.983818770226537
400,200,80,0.3,0.4,"a","FALSE",0.5,0,10,"42, 26, 41, 47, 74, 12, 72, 1, 11, 60, 32, 44, 16, 79, 18, 64, 28, 40, 48, 53, 70, 76, 43, 5, 46, 63, 54, 20, 34, 19, 62, 23","rf_probs",0,66,147,87,0.22,0.309859154929577,0,0.431372549019608,0.309859154929577,0.360655737704918,"rf_probs",0,15,44,32,0.164835164835165,0.254237288135593,0,0.319148936170213,0.254237288135593,0.283018867924528,"rf_probs",0,51,103,55,0.244019138755981,0.331168831168831,0,0.481132075471698,0.331168831168831,0.392307692307692
400,200,80,0.3,0.4,"a","FALSE",0.5,0,10,"42, 26, 41, 47, 74, 12, 72, 1, 11, 60, 32, 44, 16, 79, 18, 64, 28, 40, 48, 53, 70, 76, 43, 5, 46, 63, 54, 20, 34, 19, 62, 23","rf_class",76,212,1,11,0.96,0.995305164319249,0.873563218390805,0.95067264573991,0.995305164319249,0.972477064220183,"rf_class",27,59,0,5,0.945054945054945,1,0.84375,0.921875,1,0.959349593495935,"rf_class",49,153,1,6,0.966507177033493,0.993506493506494,0.890909090909091,0.962264150943396,0.993506493506494,0.977635782747604
400,200,80,0.3,0.4,"a","FALSE",0.5,0,11,"24, 64, 65, 2, 62, 11, 36, 23, 27, 31, 3, 34, 43, 51, 20, 8, 80, 70, 49, 12, 44, 40, 71, 69, 13, 45, 15, 63, 59, 26, 68, 48","IRT",87,205,6,2,0.973333333333333,0.971563981042654,0.97752808988764,0.990338164251208,0.971563981042654,0.980861244019139,"IRT",31,69,4,0,0.961538461538462,0.945205479452055,1,1,0.945205479452055,0.971830985915493,"IRT",56,136,2,2,0.979591836734694,0.985507246376812,0.96551724137931,0.985507246376812,0.985507246376812,0.985507246376812
400,200,80,0.3,0.4,"a","FALSE",0.5,0,11,"24, 64, 65, 2, 62, 11, 36, 23, 27, 31, 3, 34, 43, 51, 20, 8, 80, 70, 49, 12, 44, 40, 71, 69, 13, 45, 15, 63, 59, 26, 68, 48","rf_probs",0,75,136,89,0.25,0.355450236966825,0,0.457317073170732,0.355450236966825,0.4,"rf_probs",0,26,47,31,0.25,0.356164383561644,0,0.456140350877193,0.356164383561644,0.4,"rf_probs",0,49,89,58,0.25,0.355072463768116,0,0.457943925233645,0.355072463768116,0.4
400,200,80,0.3,0.4,"a","FALSE",0.5,0,11,"24, 64, 65, 2, 62, 11, 36, 23, 27, 31, 3, 34, 43, 51, 20, 8, 80, 70, 49, 12, 44, 40, 71, 69, 13, 45, 15, 63, 59, 26, 68, 48","rf_class",86,205,6,3,0.97,0.971563981042654,0.966292134831461,0.985576923076923,0.971563981042654,0.978520286396181,"rf_class",31,69,4,0,0.961538461538462,0.945205479452055,1,1,0.945205479452055,0.971830985915493,"rf_class",55,136,2,3,0.974489795918367,0.985507246376812,0.948275862068966,0.97841726618705,0.985507246376812,0.981949458483755
400,200,80,0.3,0.4,"a","FALSE",0.5,0,12,"12, 74, 34, 38, 37, 20, 57, 1, 71, 49, 76, 66, 52, 22, 60, 9, 70, 68, 61, 32, 69, 25, 10, 42, 33, 6, 23, 44, 51, 80, 59, 18","IRT",97,198,3,2,0.983333333333333,0.985074626865672,0.97979797979798,0.99,0.985074626865672,0.987531172069825,"IRT",31,66,1,0,0.989795918367347,0.985074626865672,1,1,0.985074626865672,0.992481203007519,"IRT",66,132,2,2,0.98019801980198,0.985074626865672,0.970588235294118,0.985074626865672,0.985074626865672,0.985074626865672
400,200,80,0.3,0.4,"a","FALSE",0.5,0,12,"12, 74, 34, 38, 37, 20, 57, 1, 71, 49, 76, 66, 52, 22, 60, 9, 70, 68, 61, 32, 69, 25, 10, 42, 33, 6, 23, 44, 51, 80, 59, 18","rf_probs",0,84,117,99,0.28,0.417910447761194,0,0.459016393442623,0.417910447761194,0.4375,"rf_probs",0,21,46,31,0.214285714285714,0.313432835820896,0,0.403846153846154,0.313432835820896,0.352941176470588,"rf_probs",0,63,71,68,0.311881188118812,0.470149253731343,0,0.480916030534351,0.470149253731343,0.475471698113208
400,200,80,0.3,0.4,"a","FALSE",0.5,0,12,"12, 74, 34, 38, 37, 20, 57, 1, 71, 49, 76, 66, 52, 22, 60, 9, 70, 68, 61, 32, 69, 25, 10, 42, 33, 6, 23, 44, 51, 80, 59, 18","rf_class",94,196,5,5,0.966666666666667,0.975124378109453,0.94949494949495,0.975124378109453,0.975124378109453,0.975124378109453,"rf_class",30,66,1,1,0.979591836734694,0.985074626865672,0.967741935483871,0.985074626865672,0.985074626865672,0.985074626865672,"rf_class",64,130,4,4,0.96039603960396,0.970149253731343,0.941176470588235,0.970149253731343,0.970149253731343,0.970149253731343
