"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","method_focal","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","method_ref","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref"
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,1,"17, 9","IRT",253,1663,78,6,0.958,0.955198161975876,0.976833976833977,0.996405032953865,0.955198161975876,0.975366568914956,"IRT",125,829,39,0,0.960725075528701,0.955069124423963,1,1,0.955069124423963,0.977018267530937,"IRT",128,834,39,6,0.955312810327706,0.9553264604811,0.955223880597015,0.992857142857143,0.9553264604811,0.973730297723292
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,1,"17, 9","rf_probs",0,725,1016,259,0.3625,0.416427340608846,0,0.736788617886179,0.416427340608846,0.532110091743119,"rf_probs",0,354,514,125,0.356495468277946,0.407834101382488,0,0.739039665970772,0.407834101382488,0.525612472160356,"rf_probs",0,371,502,134,0.368421052631579,0.424971363115693,0,0.734653465346535,0.424971363115693,0.538461538461538
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,1,"17, 9","rf_class",224,1698,43,35,0.961,0.975301550832855,0.864864864864865,0.979803808424697,0.975301550832855,0.977547495682211,"rf_class",108,846,22,17,0.960725075528701,0.974654377880184,0.864,0.980301274623407,0.974654377880184,0.977469670710572,"rf_class",116,852,21,18,0.961271102284012,0.975945017182131,0.865671641791045,0.979310344827586,0.975945017182131,0.977624784853701
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,2,"26, 35","IRT",246,1668,86,0,0.957,0.95096921322691,1,1,0.95096921322691,0.974868497954413,"IRT",126,828,49,0,0.951146560319043,0.944127708095781,1,1,0.944127708095781,0.971260997067449,"IRT",120,840,37,0,0.962888665997994,0.957810718358039,1,1,0.957810718358039,0.978450786255096
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,2,"26, 35","rf_probs",0,623,1131,246,0.3115,0.355188141391106,0,0.716915995397008,0.355188141391106,0.475028593213877,"rf_probs",0,311,566,126,0.310069790628116,0.354618015963512,0,0.711670480549199,0.354618015963512,0.473363774733638,"rf_probs",0,312,565,120,0.312938816449348,0.3557582668187,0,0.722222222222222,0.3557582668187,0.476699770817418
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,2,"26, 35","rf_class",226,1725,29,20,0.9755,0.983466362599772,0.91869918699187,0.988538681948424,0.983466362599772,0.985995998856816,"rf_class",118,856,21,8,0.971086739780658,0.976054732041049,0.936507936507937,0.990740740740741,0.976054732041049,0.983342906375646,"rf_class",108,869,8,12,0.979939819458375,0.990877993158495,0.9,0.986379114642452,0.990877993158495,0.988623435722412
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,3,"10, 7","IRT",220,1684,90,6,0.952,0.949267192784667,0.973451327433628,0.996449704142012,0.949267192784667,0.972286374133949,"IRT",119,839,45,2,0.953233830845771,0.949095022624434,0.983471074380165,0.997621878715815,0.949095022624434,0.972753623188406,"IRT",101,845,45,4,0.950753768844221,0.949438202247191,0.961904761904762,0.995288574793875,0.949438202247191,0.971822886716504
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,3,"10, 7","rf_probs",0,729,1045,226,0.3645,0.410935738444194,0,0.763350785340314,0.410935738444194,0.534261634298278,"rf_probs",0,366,518,121,0.364179104477612,0.414027149321267,0,0.751540041067762,0.414027149321267,0.533916849015317,"rf_probs",0,363,527,105,0.364824120603015,0.407865168539326,0,0.775641025641026,0.407865168539326,0.53460972017673
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,3,"10, 7","rf_class",206,1722,52,20,0.964,0.970687711386697,0.911504424778761,0.988518943742824,0.970687711386697,0.979522184300341,"rf_class",112,856,28,9,0.96318407960199,0.968325791855204,0.925619834710744,0.989595375722543,0.968325791855204,0.978845054316752,"rf_class",94,866,24,11,0.964824120603015,0.973033707865169,0.895238095238095,0.98745724059293,0.973033707865169,0.980192416525184
2000,2000,40,0.12,0.05,"a",FALSE,0.8,0,4,"6, 37","IRT",228,1665,102,5,0.9465,0.942275042444822,0.978540772532189,0.997005988023952,0.942275042444822,0.968868199010765,"IRT",111,855,50,2,0.948919449901768,0.94475138121547,0.982300884955752,0.997666277712952,0.94475138121547,0.970488081725312,"IRT",117,810,52,3,0.943991853360489,0.939675174013921,0.975,0.996309963099631,0.939675174013921,0.967164179104478
