"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref","NA.","NA..1","NA..2"
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,1,"26, 31","IRT",239,1660,98,3,0.9495,0.944254835039818,0.987603305785124,0.998196031268791,0.944254835039818,0.970476468868752,"IRT",106,829,46,1,0.95213849287169,0.947428571428571,0.990654205607477,0.998795180722892,0.947428571428571,0.972434017595308,"IRT",133,831,52,2,0.946954813359528,0.941109852774632,0.985185185185185,0.997599039615846,0.941109852774632,0.968531468531469
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,1,"26, 31","rf_probs",0,793,965,242,0.3965,0.451080773606371,0,0.766183574879227,0.451080773606371,0.567848191908342,"rf_probs",0,406,469,107,0.413441955193483,0.464,0,0.791423001949318,0.464,0.585014409221902,"rf_probs",0,387,496,135,0.380157170923379,0.438278595696489,0,0.741379310344828,0.438278595696489,0.550889679715303
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,1,"26, 31","rf_class",211,1712,46,31,0.9615,0.973833902161547,0.871900826446281,0.982214572576018,0.973833902161547,0.97800628391888,"rf_class",92,857,18,15,0.966395112016293,0.979428571428571,0.85981308411215,0.982798165137615,0.979428571428571,0.981110475100172,"rf_class",119,855,28,16,0.956777996070727,0.968289920724802,0.881481481481482,0.981630309988519,0.968289920724802,0.974914481185861
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,2,"18, 14","IRT",235,1642,120,3,0.9385,0.931895573212259,0.987394957983193,0.998176291793313,0.931895573212259,0.963897857352509,"IRT",120,804,56,1,0.941896024464832,0.934883720930233,0.991735537190083,0.998757763975155,0.934883720930233,0.965765765765766,"IRT",115,838,64,2,0.935230618253189,0.929046563192905,0.982905982905983,0.997619047619048,0.929046563192905,0.96211251435132
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,2,"18, 14","rf_probs",0,679,1083,238,0.3395,0.385357548240636,0,0.740458015267176,0.385357548240636,0.506905561776782,"rf_probs",0,341,519,121,0.347604485219164,0.396511627906977,0,0.738095238095238,0.396511627906977,0.51588502269289,"rf_probs",0,338,564,117,0.331697742885182,0.374722838137472,0,0.742857142857143,0.374722838137472,0.498157700810612
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,2,"18, 14","rf_class",218,1711,51,20,0.9645,0.97105561861521,0.915966386554622,0.98844598497978,0.97105561861521,0.979673632980246,"rf_class",114,838,22,7,0.970438328236493,0.974418604651163,0.942148760330578,0.991715976331361,0.974418604651163,0.982991202346041,"rf_class",104,873,29,13,0.958783120706575,0.967849223946785,0.888888888888889,0.985327313769752,0.967849223946785,0.976510067114094
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,3,"40, 5","IRT",229,1659,108,4,0.944,0.938879456706282,0.982832618025751,0.997594708358388,0.938879456706282,0.96734693877551,"IRT",120,843,53,0,0.947834645669291,0.940848214285714,1,1,0.940848214285714,0.969522714203565,"IRT",109,816,55,4,0.940040650406504,0.936854190585534,0.964601769911504,0.995121951219512,0.936854190585534,0.965109402720284
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,3,"40, 5","rf_probs",0,696,1071,233,0.348,0.393887945670628,0,0.749192680301399,0.393887945670628,0.516320474777448,"rf_probs",0,345,551,120,0.339566929133858,0.385044642857143,0,0.741935483870968,0.385044642857143,0.506980161645849,"rf_probs",0,351,520,113,0.356707317073171,0.402985074626866,0,0.756465517241379,0.402985074626866,0.525842696629213
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,3,"40, 5","rf_class",213,1717,50,20,0.965,0.971703452178834,0.914163090128755,0.988485895221647,0.971703452178834,0.980022831050228,"rf_class",115,866,30,5,0.965551181102362,0.966517857142857,0.958333333333333,0.994259471871412,0.966517857142857,0.980192416525184,"rf_class",98,851,20,15,0.964430894308943,0.977037887485649,0.867256637168142,0.982678983833718,0.977037887485649,0.979850316637881
2000,2000,40,0.12,0.05,"both",TRUE,0.2,0.5,4,"10, 40","IRT",238,1646,116,0,0.942,0.93416572077185,1,1,0.93416572077185,0.965962441314554,"IRT",110,812,50,0,0.948559670781893,0.94199535962877,1,1,0.94199535962877,0.970131421744325,"IRT",128,834,66,0,0.93579766536965,0.926666666666667,1,1,0.926666666666667,0.961937716262976
