"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref","NA.","NA..1"
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,1,"9, 57, 48, 23","IRT",607,1306,74,13,0.9565,0.946376811594203,0.979032258064516,0.990144048521607,0.946376811594203,0.967765839199704,"IRT",300,677,33,9,0.958783120706575,0.953521126760563,0.970873786407767,0.986880466472303,0.953521126760563,0.969914040114613,"IRT",307,629,41,4,0.954128440366973,0.938805970149254,0.987138263665595,0.993680884676145,0.938805970149254,0.965464313123561
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,1,"9, 57, 48, 23","rf_probs",0,479,901,620,0.2395,0.347101449275362,0,0.435850773430391,0.347101449275362,0.386446147640177,"rf_probs",0,242,468,309,0.237487733071639,0.340845070422535,0,0.439201451905626,0.340845070422535,0.383822363203806,"rf_probs",0,237,433,311,0.241590214067278,0.353731343283582,0,0.432481751824818,0.353731343283582,0.389162561576355
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,1,"9, 57, 48, 23","rf_class",592,1323,57,28,0.9575,0.958695652173913,0.954838709677419,0.979274611398964,0.958695652173913,0.968875869644819,"rf_class",295,681,29,14,0.957801766437684,0.959154929577465,0.954692556634304,0.979856115107914,0.959154929577465,0.969395017793594,"rf_class",297,642,28,14,0.957186544342508,0.958208955223881,0.954983922829582,0.978658536585366,0.958208955223881,0.968325791855204
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,2,"52, 66, 12, 18","IRT",616,1286,91,7,0.951,0.933914306463326,0.98876404494382,0.994586233565352,0.933914306463326,0.963295880149813,"IRT",308,647,38,3,0.958835341365462,0.944525547445256,0.990353697749196,0.995384615384615,0.944525547445256,0.969288389513109,"IRT",308,639,53,4,0.943227091633466,0.923410404624277,0.987179487179487,0.993779160186625,0.923410404624277,0.957303370786517
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,2,"52, 66, 12, 18","rf_probs",0,398,979,623,0.199,0.289034132171387,0,0.389813907933399,0.289034132171387,0.331943286071726,"rf_probs",0,183,502,311,0.183734939759036,0.267153284671533,0,0.370445344129555,0.267153284671533,0.310432569974555,"rf_probs",0,215,477,312,0.214143426294821,0.310693641618497,0,0.407969639468691,0.310693641618497,0.352748154224774
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,2,"52, 66, 12, 18","rf_class",594,1323,54,29,0.9585,0.96078431372549,0.953451043338684,0.978550295857988,0.96078431372549,0.969585928911689,"rf_class",297,663,22,14,0.963855421686747,0.967883211678832,0.954983922829582,0.979320531757755,0.967883211678832,0.973568281938326,"rf_class",297,660,32,15,0.953187250996016,0.953757225433526,0.951923076923077,0.977777777777778,0.953757225433526,0.965618141916606
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,3,"53, 62, 2, 28","IRT",604,1325,56,15,0.9645,0.959449674149167,0.975767366720517,0.988805970149254,0.959449674149167,0.973906651966189,"IRT",307,660,26,6,0.967967967967968,0.962099125364432,0.980830670926518,0.990990990990991,0.962099125364432,0.976331360946746,"IRT",297,665,30,9,0.961038961038961,0.956834532374101,0.970588235294118,0.986646884272997,0.956834532374101,0.971512052593134
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,3,"53, 62, 2, 28","rf_probs",0,402,979,619,0.201,0.291093410572049,0,0.393731635651322,0.291093410572049,0.334721065778518,"rf_probs",0,191,495,313,0.191191191191191,0.278425655976676,0,0.378968253968254,0.278425655976676,0.321008403361345,"rf_probs",0,211,484,306,0.210789210789211,0.303597122302158,0,0.408123791102515,0.303597122302158,0.348184818481848
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,3,"53, 62, 2, 28","rf_class",584,1343,38,35,0.9635,0.972483707458364,0.94345718901454,0.974600870827286,0.972483707458364,0.973541138093512,"rf_class",299,669,17,14,0.968968968968969,0.975218658892128,0.955271565495208,0.979502196193265,0.975218658892128,0.977355734112491,"rf_class",285,674,21,21,0.958041958041958,0.969784172661871,0.931372549019608,0.969784172661871,0.969784172661871,0.969784172661871
2000,2000,80,0.3,0.05,"a",TRUE,0.8,0,4,"44, 26, 2, 15","IRT",601,1332,57,10,0.9665,0.958963282937365,0.983633387888707,0.992548435171386,0.958963282937365,0.975466861955328,"IRT",291,658,31,4,0.964430894308943,0.955007256894049,0.986440677966102,0.993957703927492,0.955007256894049,0.974093264248705,"IRT",310,674,26,6,0.968503937007874,0.962857142857143,0.981012658227848,0.991176470588235,0.962857142857143,0.976811594202899
