"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref","NA.","NA..1","NA..2"
400,400,40,0.3,0.05,"a",FALSE,0.2,0,1,"33, 30","IRT",118,265,11,6,0.9575,0.960144927536232,0.951612903225806,0.977859778597786,0.960144927536232,0.968921389396709,"IRT",57,127,6,4,0.948453608247423,0.954887218045113,0.934426229508197,0.969465648854962,0.954887218045113,0.962121212121212,"IRT",61,138,5,2,0.966019417475728,0.965034965034965,0.968253968253968,0.985714285714286,0.965034965034965,0.975265017667845
400,400,40,0.3,0.05,"a",FALSE,0.2,0,1,"33, 30","rf_probs",0,118,158,124,0.295,0.427536231884058,0,0.487603305785124,0.427536231884058,0.455598455598456,"rf_probs",0,59,74,61,0.304123711340206,0.443609022556391,0,0.491666666666667,0.443609022556391,0.466403162055336,"rf_probs",0,59,84,63,0.286407766990291,0.412587412587413,0,0.483606557377049,0.412587412587413,0.445283018867924
400,400,40,0.3,0.05,"a",FALSE,0.2,0,1,"33, 30","rf_class",112,267,9,12,0.9475,0.967391304347826,0.903225806451613,0.956989247311828,0.967391304347826,0.962162162162162,"rf_class",52,127,6,9,0.922680412371134,0.954887218045113,0.852459016393443,0.933823529411765,0.954887218045113,0.944237918215613,"rf_class",60,140,3,3,0.970873786407767,0.979020979020979,0.952380952380952,0.979020979020979,0.979020979020979,0.979020979020979
400,400,40,0.3,0.05,"a",FALSE,0.2,0,2,"30, 31","IRT",107,268,13,12,0.9375,0.953736654804271,0.899159663865546,0.957142857142857,0.953736654804271,0.955436720142603,"IRT",46,144,5,7,0.940594059405941,0.966442953020134,0.867924528301887,0.95364238410596,0.966442953020134,0.96,"IRT",61,124,8,5,0.934343434343434,0.939393939393939,0.924242424242424,0.961240310077519,0.939393939393939,0.950191570881226
400,400,40,0.3,0.05,"a",FALSE,0.2,0,2,"30, 31","rf_probs",0,119,162,119,0.2975,0.423487544483986,0,0.5,0.423487544483986,0.458574181117534,"rf_probs",0,60,89,53,0.297029702970297,0.402684563758389,0,0.530973451327434,0.402684563758389,0.458015267175573,"rf_probs",0,59,73,66,0.297979797979798,0.446969696969697,0,0.472,0.446969696969697,0.459143968871595
400,400,40,0.3,0.05,"a",FALSE,0.2,0,2,"30, 31","rf_class",96,268,13,23,0.91,0.953736654804271,0.80672268907563,0.920962199312715,0.953736654804271,0.937062937062937,"rf_class",44,140,9,9,0.910891089108911,0.939597315436242,0.830188679245283,0.939597315436242,0.939597315436242,0.939597315436242,"rf_class",52,128,4,14,0.909090909090909,0.96969696969697,0.787878787878788,0.901408450704225,0.96969696969697,0.934306569343066
400,400,40,0.3,0.05,"a",FALSE,0.2,0,3,"6, 2","IRT",109,271,11,9,0.95,0.960992907801418,0.923728813559322,0.967857142857143,0.960992907801418,0.9644128113879,"IRT",50,131,2,6,0.957671957671958,0.984962406015038,0.892857142857143,0.956204379562044,0.984962406015038,0.97037037037037,"IRT",59,140,9,3,0.943127962085308,0.939597315436242,0.951612903225806,0.979020979020979,0.939597315436242,0.958904109589041
400,400,40,0.3,0.05,"a",FALSE,0.2,0,3,"6, 2","rf_probs",0,109,173,118,0.2725,0.386524822695035,0,0.480176211453745,0.386524822695035,0.428290766208252,"rf_probs",0,48,85,56,0.253968253968254,0.360902255639098,0,0.461538461538462,0.360902255639098,0.40506329113924,"rf_probs",0,61,88,62,0.289099526066351,0.409395973154362,0,0.495934959349593,0.409395973154362,0.448529411764706
400,400,40,0.3,0.05,"a",FALSE,0.2,0,3,"6, 2","rf_class",109,268,14,9,0.9425,0.950354609929078,0.923728813559322,0.967509025270758,0.950354609929078,0.958855098389982,"rf_class",51,128,5,5,0.947089947089947,0.962406015037594,0.910714285714286,0.962406015037594,0.962406015037594,0.962406015037594,"rf_class",58,140,9,4,0.938388625592417,0.939597315436242,0.935483870967742,0.972222222222222,0.939597315436242,0.955631399317406
400,400,40,0.3,0.05,"a",FALSE,0.2,0,4,"23, 9","IRT",123,256,14,7,0.9475,0.948148148148148,0.946153846153846,0.973384030418251,0.948148148148148,0.960600375234522,"IRT",69,123,6,5,0.945812807881773,0.953488372093023,0.932432432432432,0.9609375,0.953488372093023,0.957198443579767,"IRT",54,133,8,2,0.949238578680203,0.943262411347518,0.964285714285714,0.985185185185185,0.943262411347518,0.963768115942029
400,400,40,0.3,0.05,"a",FALSE,0.2,0,4,"23, 9","rf_probs",0,84,186,130,0.21,0.311111111111111,0,0.392523364485981,0.311111111111111,0.347107438016529,"rf_probs",0,45,84,74,0.221674876847291,0.348837209302326,0,0.378151260504202,0.348837209302326,0.362903225806452,"rf_probs",0,39,102,56,0.197969543147208,0.276595744680851,0,0.410526315789474,0.276595744680851,0.330508474576271
400,400,40,0.3,0.05,"a",FALSE,0.2,0,4,"23, 9","rf_class",120,257,13,10,0.9425,0.951851851851852,0.923076923076923,0.962546816479401,0.951851851851852,0.957169459962756,"rf_class",68,122,7,6,0.935960591133005,0.945736434108527,0.918918918918919,0.953125,0.945736434108527,0.949416342412451,"rf_class",52,135,6,4,0.949238578680203,0.957446808510638,0.928571428571429,0.971223021582734,0.957446808510638,0.964285714285714
400,400,40,0.3,0.05,"a",FALSE,0.2,0,5,"31, 27","IRT",103,271,15,11,0.935,0.947552447552448,0.903508771929825,0.960992907801418,0.947552447552448,0.954225352112676,"IRT",46,131,9,4,0.931578947368421,0.935714285714286,0.92,0.97037037037037,0.935714285714286,0.952727272727273,"IRT",57,140,6,7,0.938095238095238,0.958904109589041,0.890625,0.952380952380952,0.958904109589041,0.955631399317406
400,400,40,0.3,0.05,"a",FALSE,0.2,0,5,"31, 27","rf_probs",0,117,169,114,0.2925,0.409090909090909,0,0.506493506493506,0.409090909090909,0.452611218568665,"rf_probs",0,58,82,50,0.305263157894737,0.414285714285714,0,0.537037037037037,0.414285714285714,0.467741935483871,"rf_probs",0,59,87,64,0.280952380952381,0.404109589041096,0,0.479674796747967,0.404109589041096,0.438661710037175
400,400,40,0.3,0.05,"a",FALSE,0.2,0,5,"31, 27","rf_class",105,267,19,9,0.93,0.933566433566434,0.921052631578947,0.967391304347826,0.933566433566434,0.950177935943061,"rf_class",46,129,11,4,0.921052631578947,0.921428571428571,0.92,0.969924812030075,0.921428571428571,0.945054945054945,"rf_class",59,138,8,5,0.938095238095238,0.945205479452055,0.921875,0.965034965034965,0.945205479452055,0.955017301038062
400,400,40,0.3,0.05,"a",FALSE,0.2,0,6,"37, 19","IRT",112,266,19,3,0.945,0.933333333333333,0.973913043478261,0.988847583643123,0.933333333333333,0.96028880866426,"IRT",52,129,10,3,0.93298969072165,0.928057553956835,0.945454545454545,0.977272727272727,0.928057553956835,0.952029520295203,"IRT",60,137,9,0,0.956310679611651,0.938356164383562,1,1,0.938356164383562,0.968197879858657
400,400,40,0.3,0.05,"a",FALSE,0.2,0,6,"37, 19","rf_probs",0,113,172,115,0.2825,0.396491228070175,0,0.495614035087719,0.396491228070175,0.440545808966862,"rf_probs",0,53,86,55,0.27319587628866,0.381294964028777,0,0.490740740740741,0.381294964028777,0.42914979757085,"rf_probs",0,60,86,60,0.29126213592233,0.410958904109589,0,0.5,0.410958904109589,0.451127819548872
400,400,40,0.3,0.05,"a",FALSE,0.2,0,6,"37, 19","rf_class",108,263,22,7,0.9275,0.92280701754386,0.939130434782609,0.974074074074074,0.92280701754386,0.947747747747748,"rf_class",50,129,10,5,0.922680412371134,0.928057553956835,0.909090909090909,0.962686567164179,0.928057553956835,0.945054945054945,"rf_class",58,134,12,2,0.932038834951456,0.917808219178082,0.966666666666667,0.985294117647059,0.917808219178082,0.950354609929078
400,400,40,0.3,0.05,"a",FALSE,0.2,0,7,"32, 10","IRT",127,254,18,1,0.9525,0.933823529411765,0.9921875,0.996078431372549,0.933823529411765,0.963946869070209,"IRT",60,126,9,0,0.953846153846154,0.933333333333333,1,1,0.933333333333333,0.96551724137931,"IRT",67,128,9,1,0.951219512195122,0.934306569343066,0.985294117647059,0.992248062015504,0.934306569343066,0.962406015037594
400,400,40,0.3,0.05,"a",FALSE,0.2,0,7,"32, 10","rf_probs",0,89,183,128,0.2225,0.327205882352941,0,0.410138248847926,0.327205882352941,0.3640081799591,"rf_probs",0,41,94,60,0.21025641025641,0.303703703703704,0,0.405940594059406,0.303703703703704,0.347457627118644,"rf_probs",0,48,89,68,0.234146341463415,0.35036496350365,0,0.413793103448276,0.35036496350365,0.379446640316206
400,400,40,0.3,0.05,"a",FALSE,0.2,0,7,"32, 10","rf_class",117,258,14,11,0.9375,0.948529411764706,0.9140625,0.95910780669145,0.948529411764706,0.953789279112754,"rf_class",56,129,6,4,0.948717948717949,0.955555555555556,0.933333333333333,0.969924812030075,0.955555555555556,0.962686567164179,"rf_class",61,129,8,7,0.926829268292683,0.941605839416058,0.897058823529412,0.948529411764706,0.941605839416058,0.945054945054945
400,400,40,0.3,0.05,"a",FALSE,0.2,0,8,"15, 35","IRT",122,245,28,5,0.9175,0.897435897435897,0.960629921259842,0.98,0.897435897435897,0.936902485659656,"IRT",59,122,17,2,0.905,0.877697841726619,0.967213114754098,0.983870967741935,0.877697841726619,0.927756653992395,"IRT",63,123,11,3,0.93,0.917910447761194,0.954545454545455,0.976190476190476,0.917910447761194,0.946153846153846
400,400,40,0.3,0.05,"a",FALSE,0.2,0,8,"15, 35","rf_probs",0,104,169,127,0.26,0.380952380952381,0,0.45021645021645,0.380952380952381,0.412698412698413,"rf_probs",0,54,85,61,0.27,0.388489208633094,0,0.469565217391304,0.388489208633094,0.425196850393701,"rf_probs",0,50,84,66,0.25,0.373134328358209,0,0.431034482758621,0.373134328358209,0.4
400,400,40,0.3,0.05,"a",FALSE,0.2,0,8,"15, 35","rf_class",112,257,16,15,0.9225,0.941391941391941,0.881889763779528,0.944852941176471,0.941391941391941,0.943119266055046,"rf_class",57,131,8,4,0.94,0.942446043165468,0.934426229508197,0.97037037037037,0.942446043165468,0.956204379562044,"rf_class",55,126,8,11,0.905,0.940298507462687,0.833333333333333,0.91970802919708,0.940298507462687,0.929889298892989
