"RefGroupSize","FocalGroupSize","nItems","prevRate","difRate","difType","balanced","aStrength","bStrength","rep","dif_items","method","TP_full","TN_full","FP_full","FN_full","accuracy_full","sensitivity_full","specificity_full","precision_full","npv_full","f1score_full","method_focal","TP_focal","TN_focal","FP_focal","FN_focal","accuracy_focal","sensitivity_focal","specificity_focal","precision_focal","npv_focal","f1score_focal","method_ref","TP_ref","TN_ref","FP_ref","FN_ref","accuracy_ref","sensitivity_ref","specificity_ref","precision_ref","npv_ref","f1score_ref"
400,200,40,0.3,0.05,"b",TRUE,0,2,1,"21, 4","IRT",88,194,12,6,0.94,0.941747572815534,0.936170212765957,0.97,0.941747572815534,0.955665024630542,"IRT",26,70,2,4,0.941176470588235,0.972222222222222,0.866666666666667,0.945945945945946,0.972222222222222,0.958904109589041,"IRT",62,124,10,2,0.939393939393939,0.925373134328358,0.96875,0.984126984126984,0.925373134328358,0.953846153846154
400,200,40,0.3,0.05,"b",TRUE,0,2,1,"21, 4","rf_probs",0,76,130,94,0.253333333333333,0.368932038834951,0,0.447058823529412,0.368932038834951,0.404255319148936,"rf_probs",0,30,42,30,0.294117647058824,0.416666666666667,0,0.5,0.416666666666667,0.454545454545455,"rf_probs",0,46,88,64,0.232323232323232,0.343283582089552,0,0.418181818181818,0.343283582089552,0.377049180327869
400,200,40,0.3,0.05,"b",TRUE,0,2,1,"21, 4","rf_class",87,196,10,7,0.943333333333333,0.951456310679612,0.925531914893617,0.96551724137931,0.951456310679612,0.958435207823961,"rf_class",26,71,1,4,0.950980392156863,0.986111111111111,0.866666666666667,0.946666666666667,0.986111111111111,0.965986394557823,"rf_class",61,125,9,3,0.939393939393939,0.932835820895522,0.953125,0.9765625,0.932835820895522,0.954198473282443
400,200,40,0.3,0.05,"b",TRUE,0,2,2,"25, 30","IRT",86,197,14,3,0.943333333333333,0.933649289099526,0.966292134831461,0.985,0.933649289099526,0.958637469586375,"IRT",28,65,3,2,0.948979591836735,0.955882352941177,0.933333333333333,0.970149253731343,0.955882352941177,0.962962962962963,"IRT",58,132,11,1,0.940594059405941,0.923076923076923,0.983050847457627,0.992481203007519,0.923076923076923,0.956521739130435
400,200,40,0.3,0.05,"b",TRUE,0,2,2,"25, 30","rf_probs",82,0,211,7,0.273333333333333,0,0.921348314606742,0,0,NA,"rf_probs",27,0,68,3,0.275510204081633,0,0.9,0,0,NA,"rf_probs",55,0,143,4,0.272277227722772,0,0.932203389830508,0,0,NA
400,200,40,0.3,0.05,"b",TRUE,0,2,2,"25, 30","rf_class",84,195,16,5,0.93,0.924170616113744,0.943820224719101,0.975,0.924170616113744,0.948905109489051,"rf_class",26,65,3,4,0.928571428571429,0.955882352941177,0.866666666666667,0.942028985507246,0.955882352941177,0.948905109489051,"rf_class",58,130,13,1,0.930693069306931,0.909090909090909,0.983050847457627,0.99236641221374,0.909090909090909,0.948905109489051
400,200,40,0.3,0.05,"b",TRUE,0,2,3,"26, 25","IRT",88,202,7,3,0.966666666666667,0.966507177033493,0.967032967032967,0.985365853658537,0.966507177033493,0.975845410628019,"IRT",30,74,1,1,0.981132075471698,0.986666666666667,0.967741935483871,0.986666666666667,0.986666666666667,0.986666666666667,"IRT",58,128,6,2,0.958762886597938,0.955223880597015,0.966666666666667,0.984615384615385,0.955223880597015,0.96969696969697
400,200,40,0.3,0.05,"b",TRUE,0,2,3,"26, 25","rf_probs",0,88,121,91,0.293333333333333,0.421052631578947,0,0.491620111731844,0.421052631578947,0.45360824742268,"rf_probs",0,28,47,31,0.264150943396226,0.373333333333333,0,0.474576271186441,0.373333333333333,0.417910447761194,"rf_probs",0,60,74,60,0.309278350515464,0.447761194029851,0,0.5,0.447761194029851,0.47244094488189
400,200,40,0.3,0.05,"b",TRUE,0,2,3,"26, 25","rf_class",87,195,14,4,0.94,0.933014354066986,0.956043956043956,0.979899497487437,0.933014354066986,0.955882352941177,"rf_class",30,72,3,1,0.962264150943396,0.96,0.967741935483871,0.986301369863014,0.96,0.972972972972973,"rf_class",57,123,11,3,0.927835051546392,0.917910447761194,0.95,0.976190476190476,0.917910447761194,0.946153846153846
400,200,40,0.3,0.05,"b",TRUE,0,2,4,"10, 34","IRT",86,192,20,2,0.926666666666667,0.905660377358491,0.977272727272727,0.989690721649485,0.905660377358491,0.945812807881773,"IRT",31,65,8,1,0.914285714285714,0.89041095890411,0.96875,0.984848484848485,0.89041095890411,0.935251798561151,"IRT",55,127,12,1,0.933333333333333,0.913669064748201,0.982142857142857,0.9921875,0.913669064748201,0.951310861423221
400,200,40,0.3,0.05,"b",TRUE,0,2,4,"10, 34","rf_probs",0,95,117,88,0.316666666666667,0.44811320754717,0,0.519125683060109,0.44811320754717,0.481012658227848,"rf_probs",0,33,40,32,0.314285714285714,0.452054794520548,0,0.507692307692308,0.452054794520548,0.478260869565217,"rf_probs",0,62,77,56,0.317948717948718,0.446043165467626,0,0.525423728813559,0.446043165467626,0.482490272373541
400,200,40,0.3,0.05,"b",TRUE,0,2,4,"10, 34","rf_class",81,198,14,7,0.93,0.933962264150943,0.920454545454545,0.965853658536585,0.933962264150943,0.949640287769784,"rf_class",29,69,4,3,0.933333333333333,0.945205479452055,0.90625,0.958333333333333,0.945205479452055,0.951724137931034,"rf_class",52,129,10,4,0.928205128205128,0.928057553956835,0.928571428571429,0.969924812030075,0.928057553956835,0.948529411764706
400,200,40,0.3,0.05,"b",TRUE,0,2,5,"11, 37","IRT",84,201,12,3,0.95,0.943661971830986,0.96551724137931,0.985294117647059,0.943661971830986,0.964028776978417,"IRT",25,71,5,2,0.932038834951456,0.934210526315789,0.925925925925926,0.972602739726027,0.934210526315789,0.953020134228188,"IRT",59,130,7,1,0.959390862944162,0.948905109489051,0.983333333333333,0.99236641221374,0.948905109489051,0.970149253731343
400,200,40,0.3,0.05,"b",TRUE,0,2,5,"11, 37","rf_probs",79,0,213,8,0.263333333333333,0,0.908045977011494,0,0,NA,"rf_probs",24,0,76,3,0.233009708737864,0,0.888888888888889,0,0,NA,"rf_probs",55,0,137,5,0.279187817258883,0,0.916666666666667,0,0,NA
400,200,40,0.3,0.05,"b",TRUE,0,2,5,"11, 37","rf_class",77,204,9,10,0.936666666666667,0.957746478873239,0.885057471264368,0.953271028037383,0.957746478873239,0.955503512880562,"rf_class",24,74,2,3,0.951456310679612,0.973684210526316,0.888888888888889,0.961038961038961,0.973684210526316,0.967320261437909,"rf_class",53,130,7,7,0.928934010152284,0.948905109489051,0.883333333333333,0.948905109489051,0.948905109489051,0.948905109489051
400,200,40,0.3,0.05,"b",TRUE,0,2,6,"36, 26","IRT",82,202,7,9,0.946666666666667,0.966507177033493,0.901098901098901,0.957345971563981,0.966507177033493,0.961904761904762,"IRT",31,68,3,4,0.933962264150943,0.957746478873239,0.885714285714286,0.944444444444444,0.957746478873239,0.951048951048951,"IRT",51,134,4,5,0.95360824742268,0.971014492753623,0.910714285714286,0.964028776978417,0.971014492753623,0.967509025270758
400,200,40,0.3,0.05,"b",TRUE,0,2,6,"36, 26","rf_probs",0,77,132,91,0.256666666666667,0.368421052631579,0,0.458333333333333,0.368421052631579,0.408488063660477,"rf_probs",0,25,46,35,0.235849056603774,0.352112676056338,0,0.416666666666667,0.352112676056338,0.381679389312977,"rf_probs",0,52,86,56,0.268041237113402,0.376811594202899,0,0.481481481481481,0.376811594202899,0.422764227642276
400,200,40,0.3,0.05,"b",TRUE,0,2,6,"36, 26","rf_class",78,205,4,13,0.943333333333333,0.980861244019139,0.857142857142857,0.940366972477064,0.980861244019139,0.960187353629977,"rf_class",28,69,2,7,0.915094339622642,0.971830985915493,0.8,0.907894736842105,0.971830985915493,0.938775510204082,"rf_class",50,136,2,6,0.958762886597938,0.985507246376812,0.892857142857143,0.957746478873239,0.985507246376812,0.971428571428571
400,200,40,0.3,0.05,"b",TRUE,0,2,7,"4, 16","IRT",94,189,16,1,0.943333333333333,0.921951219512195,0.989473684210526,0.994736842105263,0.921951219512195,0.956962025316456,"IRT",31,70,5,0,0.952830188679245,0.933333333333333,1,1,0.933333333333333,0.96551724137931,"IRT",63,119,11,1,0.938144329896907,0.915384615384615,0.984375,0.991666666666667,0.915384615384615,0.952
400,200,40,0.3,0.05,"b",TRUE,0,2,7,"4, 16","rf_probs",0,69,136,95,0.23,0.336585365853659,0,0.420731707317073,0.336585365853659,0.373983739837398,"rf_probs",0,22,53,31,0.207547169811321,0.293333333333333,0,0.415094339622642,0.293333333333333,0.34375,"rf_probs",0,47,83,64,0.242268041237113,0.361538461538462,0,0.423423423423423,0.361538461538462,0.390041493775934
400,200,40,0.3,0.05,"b",TRUE,0,2,7,"4, 16","rf_class",84,194,11,11,0.926666666666667,0.946341463414634,0.884210526315789,0.946341463414634,0.946341463414634,0.946341463414634,"rf_class",30,72,3,1,0.962264150943396,0.96,0.967741935483871,0.986301369863014,0.96,0.972972972972973,"rf_class",54,122,8,10,0.907216494845361,0.938461538461538,0.84375,0.924242424242424,0.938461538461538,0.931297709923664
400,200,40,0.3,0.05,"b",TRUE,0,2,8,"23, 34","IRT",85,197,8,10,0.94,0.960975609756098,0.894736842105263,0.951690821256039,0.960975609756098,0.956310679611651,"IRT",31,62,1,5,0.939393939393939,0.984126984126984,0.861111111111111,0.925373134328358,0.984126984126984,0.953846153846154,"IRT",54,135,7,5,0.940298507462687,0.950704225352113,0.915254237288136,0.964285714285714,0.950704225352113,0.957446808510638
